AIRLINE_ID,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW
20409,B6,JetBlue Airways,3,3
21171,VX,Virgin America,3,3
21171,VX,Virgin America,3,3
21080,04Q,Tradewind Aviation,1,6
20354,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
20354,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
20354,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
20354,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
20354,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
20354,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
20201,AMQ,Ameristar Air Cargo,1,4
20201,AMQ,Ameristar Air Cargo,1,4
20368,G4,Allegiant Air,3,3
20368,G4,Allegiant Air,3,3
21352,0WQ,Avjet Corporation,1,1
21352,0WQ,Avjet Corporation,1,1
21352,0WQ,Avjet Corporation,1,1
21352,0WQ,Avjet Corporation,1,1
19805,AA,American Airlines Inc.,3,3
19805,AA,American Airlines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
20402,GL,Miami Air International,2,2
20402,GL,Miami Air International,2,2
20402,GL,Miami Air International,2,2
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
21652,27Q,"Jet Aviation Flight Services, Inc.",1,1
21652,27Q,"Jet Aviation Flight Services, Inc.",1,1
21652,27Q,"Jet Aviation Flight Services, Inc.",1,1
21652,27Q,"Jet Aviation Flight Services, Inc.",1,1
21652,27Q,"Jet Aviation Flight Services, Inc.",1,1
21652,27Q,"Jet Aviation Flight Services, Inc.",1,1
20377,X9,Omni Air International LLC,2,2
21161,09Q,"Swift Air, LLC",1,1
21161,09Q,"Swift Air, LLC",1,1
21161,09Q,"Swift Air, LLC",1,1
21161,09Q,"Swift Air, LLC",1,1
21161,09Q,"Swift Air, LLC",1,1
21161,09Q,"Swift Air, LLC",1,1
21161,09Q,"Swift Air, LLC",1,1
21161,09Q,"Swift Air, LLC",1,1
21161,09Q,"Swift Air, LLC",1,1
20372,KLQ,Kalitta Charters II,1,1
20372,KLQ,Kalitta Charters II,1,1
21635,LF,CFM Inc d/b/a Contour Airlines,1,6
21635,LF,CFM Inc d/b/a Contour Airlines,1,6
20422,SY,Sun Country Airlines d/b/a MN Airlines,2,2
20422,SY,Sun Country Airlines d/b/a MN Airlines,2,2
20422,SY,Sun Country Airlines d/b/a MN Airlines,2,2
20422,SY,Sun Country Airlines d/b/a MN Airlines,2,2
20422,SY,Sun Country Airlines d/b/a MN Airlines,2,2
20422,SY,Sun Country Airlines d/b/a MN Airlines,2,2
20422,SY,Sun Country Airlines d/b/a MN Airlines,2,2
20422,SY,Sun Country Airlines d/b/a MN Airlines,2,2
20447,U7,USA Jet Airlines Inc.,2,2
20447,U7,USA Jet Airlines Inc.,2,2
20190,9S,Southern Air Inc.,2,2
20190,9S,Southern Air Inc.,2,2
19930,AS,Alaska Airlines Inc.,3,3
19930,AS,Alaska Airlines Inc.,3,3
20237,AX,Trans States Airlines,1,5
20237,AX,Trans States Airlines,1,5
20225,KS,Peninsula Airways Inc.,1,5
20225,KS,Peninsula Airways Inc.,1,5
20225,KS,Peninsula Airways Inc.,1,5
20225,KS,Peninsula Airways Inc.,1,5
20225,KS,Peninsula Airways Inc.,1,5
20225,KS,Peninsula Airways Inc.,1,5
20225,KS,Peninsula Airways Inc.,1,5
20225,KS,Peninsula Airways Inc.,1,5
20225,KS,Peninsula Airways Inc.,1,5
20225,KS,Peninsula Airways Inc.,1,5
20225,KS,Peninsula Airways Inc.,1,5
20225,KS,Peninsula Airways Inc.,1,5
20225,KS,Peninsula Airways Inc.,1,5
20358,ZK,Great Lakes Airlines,1,6
20358,ZK,Great Lakes Airlines,1,6
21599,4B,Boutique Air,1,6
20354,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
20354,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
20354,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
20354,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1,5
20368,G4,Allegiant Air,3,3
20368,G4,Allegiant Air,3,3
19805,AA,American Airlines Inc.,3,3
19805,AA,American Airlines Inc.,3,3
19805,AA,American Airlines Inc.,3,3
19805,AA,American Airlines Inc.,3,3
19805,AA,American Airlines Inc.,3,3
19805,AA,American Airlines Inc.,3,3
19805,AA,American Airlines Inc.,3,3
19805,AA,American Airlines Inc.,3,3
19805,AA,American Airlines Inc.,3,3
19805,AA,American Airlines Inc.,3,3
19805,AA,American Airlines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
20500,G7,GoJet Airlines LLC d/b/a United Express,2,2
20500,G7,GoJet Airlines LLC d/b/a United Express,2,2
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20107,FX,Federal Express Corporation,3,3
20107,FX,Federal Express Corporation,3,3
20107,FX,Federal Express Corporation,3,3
20107,FX,Federal Express Corporation,3,3
20107,FX,Federal Express Corporation,3,3
20107,FX,Federal Express Corporation,3,3
20107,FX,Federal Express Corporation,3,3
20107,FX,Federal Express Corporation,3,3
20107,FX,Federal Express Corporation,3,3
20107,FX,Federal Express Corporation,3,3
20107,FX,Federal Express Corporation,3,3
20416,NK,Spirit Air Lines,3,3
20416,NK,Spirit Air Lines,3,3
20378,YV,Mesa Airlines Inc.,2,2
20237,AX,Trans States Airlines,1,5
20237,AX,Trans States Airlines,1,5
20237,AX,Trans States Airlines,1,5
20398,MQ,Envoy Air,3,3
20398,MQ,Envoy Air,3,3
20358,ZK,Great Lakes Airlines,1,6
20358,ZK,Great Lakes Airlines,1,6
20366,EV,ExpressJet Airlines Inc.,3,3
20366,EV,ExpressJet Airlines Inc.,3,3
20366,EV,ExpressJet Airlines Inc.,3,3
20366,EV,ExpressJet Airlines Inc.,3,3
19917,5X,United Parcel Service,3,3
19917,5X,United Parcel Service,3,3
19917,5X,United Parcel Service,3,3
19917,5X,United Parcel Service,3,3
19917,5X,United Parcel Service,3,3
19805,AA,American Airlines Inc.,3,3
19805,AA,American Airlines Inc.,3,3
19805,AA,American Airlines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
19790,DL,Delta Air Lines Inc.,3,3
20500,G7,GoJet Airlines LLC d/b/a United Express,2,2
20500,G7,GoJet Airlines LLC d/b/a United Express,2,2
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
20107,FX,Federal Express Corporation,3,3
20107,FX,Federal Express Corporation,3,3
20363,9E,Endeavor Air Inc.,2,2
20363,9E,Endeavor Air Inc.,2,2
19917,5X,United Parcel Service,3,3
19805,AA,American Airlines Inc.,3,3
20500,G7,GoJet Airlines LLC d/b/a United Express,2,2
20500,G7,GoJet Airlines LLC d/b/a United Express,2,2
20500,G7,GoJet Airlines LLC d/b/a United Express,2,2
20500,G7,GoJet Airlines LLC d/b/a United Express,2,2
20500,G7,GoJet Airlines LLC d/b/a United Express,2,2
20500,G7,GoJet Airlines LLC d/b/a United Express,2,2
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
20304,OO,SkyWest Airlines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19977,UA,United Air Lines Inc.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
19393,WN,Southwest Airlines Co.,3,3
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20452,YX,Republic Airlines,2,2
20436,F9,Frontier Airlines Inc.,3,3
20436,F9,Frontier Airlines Inc.,3,3
