AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CLASS,PASSENGERS,REGION
20409,12954,11292,F,146,D
21171,11292,14771,F,117,D
21171,14771,11292,F,119,D
21080,11423,10325,L,2,D
20354,11292,11315,L,43,D
20354,11292,12389,L,41,D
20354,11315,11292,L,35,D
20354,11503,15016,L,22,D
20354,15016,11503,L,38,D
20354,12544,11503,L,0,D
20201,10397,11292,P,0,D
20201,11292,11996,P,0,D
20368,11109,15570,L,156,D
20368,12889,11109,L,0,D
21352,10372,10800,L,3,D
21352,10800,11503,L,4,D
21352,11503,10800,L,3,D
21352,14869,10372,L,2,D
19805,11292,14107,L,62,D
19805,14100,11292,L,56,D
19790,10397,11109,F,160,D
19790,10397,11292,F,30,D
19790,10397,11292,F,150,D
19790,11109,10397,F,160,D
19790,11109,11298,F,139,D
19790,11122,11292,F,103,D
19790,11292,10397,F,4,D
19790,11292,10397,F,129,D
19790,11292,10397,L,62,D
19790,11292,11193,L,0,D
19790,11292,11433,F,148,D
19790,11292,11775,F,150,D
19790,11292,12889,F,149,D
19790,11292,14679,F,102,D
19790,11292,14869,L,50,D
19790,11433,11292,F,147,D
19790,13487,11292,F,160,D
19790,13851,11292,F,156,D
19790,14771,11292,L,61,D
19790,14869,11292,L,52,D
20402,10529,11292,L,0,D
20402,11109,16091,L,0,D
20402,13796,11109,L,27,D
19977,10558,11292,F,126,D
19977,11292,11042,L,70,D
19977,11292,12448,F,152,D
19977,11292,12892,F,122,D
19977,11292,13303,F,174,D
19977,11292,14524,F,163,D
19977,13341,11292,L,58,D
19977,11292,14771,F,200,P
19393,11109,11292,F,281,D
19393,11233,11292,F,278,D
19393,11233,11292,F,175,D
19393,11259,11109,F,141,D
19393,11292,10792,F,142,D
19393,11292,11140,F,160,D
19393,11292,11481,F,164,D
19393,11292,11973,F,143,D
19393,11292,11996,F,132,D
19393,11292,12896,F,143,D
19393,11292,12992,F,165,D
19393,14831,11109,F,140,D
19393,11109,11292,F,120,L
21652,10325,10423,L,1,D
21652,10325,13930,L,0,D
21652,10325,14831,L,1,D
21652,10423,10325,L,1,D
21652,11066,10325,L,0,D
21652,14792,10372,L,6,D
20377,11292,12889,L,0,I
21161,10466,11292,L,30,D
21161,10747,11292,L,15,D
21161,11292,13796,L,21,D
21161,11292,14275,L,0,D
21161,11292,14869,L,45,D
21161,11563,11921,L,138,D
21161,11921,11563,L,138,D
21161,14576,11292,L,0,D
21161,15370,11292,L,20,D
20372,11292,13796,P,0,D
20372,11376,11292,P,0,D
21635,11292,13342,L,14,D
21635,14570,11292,L,13,D
20422,11292,10590,L,286,D
20422,11719,10590,L,149,D
20422,10590,11292,L,129,D
20422,10590,11719,L,148,D
20422,10590,13502,L,93,D
20422,10590,14288,L,156,D
20422,13502,10590,L,93,D
20422,14288,10590,L,154,D
20447,11840,14288,P,0,D
20447,14288,13796,P,0,D
20190,11193,11292,P,0,D
20190,11292,11193,P,0,D
19930,11109,11292,F,156,D
19930,14747,11109,F,156,D
20237,10558,11292,F,49,D
20237,11292,13851,F,34,D
20225,10325,11292,F,5,D
20225,10558,11292,F,329,D
20225,11283,11292,F,116,D
20225,11292,10558,F,343,D
20225,11292,11283,F,176,D
20225,11292,11292,F,37,D
20225,11292,11468,F,645,D
20225,11292,12899,F,423,D
20225,11292,12902,F,82,D
20225,11468,11292,F,600,D
20225,12899,11292,F,422,D
20225,12902,10325,F,5,D
20225,12902,11292,F,153,D
20358,11292,14081,F,5,D
20358,14288,11711,F,5,D
21599,11292,11292,F,6,D
20354,10558,11292,F,20,D
20354,11292,10409,F,40,D
20354,11292,12389,F,34,D
20354,12389,11292,F,121,D
20368,11921,12889,F,113,D
20368,12889,11921,F,151,D
19805,11109,11292,F,150,D
19805,11109,11298,F,133,D
19805,11109,12278,F,124,D
19805,11292,10721,F,168,D
19805,11292,12892,F,74,D
19805,11292,12992,F,150,D
19805,13204,11292,F,154,D
19805,13930,11109,F,150,D
19805,14492,11292,F,142,D
19805,14771,11292,F,150,D
19805,14869,11109,F,133,D
19790,11292,12892,F,101,D
19790,11292,13487,F,110,D
19790,11292,13487,F,281,D
19790,11292,14869,F,155,D
19790,11433,11292,F,154,D
19790,13487,11292,F,106,D
19790,13487,11292,F,160,D
20500,11292,15370,F,70,D
20500,11986,11292,F,55,D
20304,11097,11292,F,35,D
20304,11109,12992,F,0,D
20304,11109,13486,F,0,D
20304,11109,15376,F,46,D
20304,11122,11292,F,48,D
20304,11278,11109,F,0,D
20304,11292,10140,F,70,D
20304,11292,10397,F,62,D
20304,11292,10423,F,69,D
20304,11292,11003,F,58,D
20304,11292,11097,F,45,D
20304,11292,11122,F,43,D
20304,11292,11298,F,67,D
20304,11292,11986,F,69,D
20304,11292,12266,F,0,D
20304,11292,12441,F,69,D
20304,11292,12992,F,48,D
20304,11292,13264,F,63,D
20304,11292,13871,F,63,D
20304,11292,13930,F,65,D
20304,11292,14489,F,40,D
20304,11292,14679,F,76,D
20304,11292,14730,F,50,D
20304,11292,14771,F,0,D
20304,11292,14771,F,0,D
20304,11292,14908,F,68,D
20304,11292,15041,F,73,D
20304,11298,11109,F,0,D
20304,11921,12892,F,0,D
20304,12266,11292,F,0,D
20304,12441,11292,F,34,D
20304,12888,11292,F,53,D
20304,12892,11292,F,0,D
20304,12992,11292,F,62,D
20304,13264,11292,F,16,D
20304,13486,11109,F,0,D
20304,13930,11292,F,0,D
20304,14057,11292,F,76,D
20304,14252,11921,F,41,D
20304,14679,11292,F,69,D
20304,14683,11292,F,65,D
20304,14794,11109,F,45,D
20304,14893,11292,F,68,D
20304,14908,11292,F,67,D
19977,10140,11292,F,140,D
19977,10529,11292,F,151,D
19977,10721,11292,F,127,D
19977,10849,11292,F,84,D
19977,11292,10140,F,144,D
19977,11292,10620,F,154,D
19977,11292,10721,F,150,D
19977,11292,10849,F,144,D
19977,11292,11193,F,89,D
19977,11292,11433,F,86,D
19977,11292,11697,F,126,D
19977,11292,12264,F,200,D
19977,11292,12266,F,126,D
19977,11292,12889,F,106,D
19977,11292,13198,F,137,D
19977,11292,13204,F,102,D
19977,11292,13930,F,121,D
19977,11292,14100,F,134,D
19977,11292,14262,F,99,D
19977,11292,14524,F,128,D
19977,11292,14570,F,105,D
19977,11292,14869,F,126,D
19977,11292,15016,F,162,D
19977,11292,15016,F,119,D
19977,11292,15370,F,124,D
19977,12264,11292,F,173,D
19977,12266,11292,F,161,D
19977,12266,11292,F,207,D
19977,13198,11292,F,107,D
19977,13204,11292,F,166,D
19977,14262,11292,F,164,D
19977,14262,11292,F,97,D
19977,14524,11292,F,138,D
19977,14570,11292,F,38,D
19977,14683,11292,F,128,D
19977,14689,11292,F,109,D
19977,14771,11292,F,129,D
19977,14771,11292,F,385,D
19977,14908,11292,F,159,D
19977,15016,11292,F,157,D
19977,15016,11292,F,125,D
19977,15370,11292,F,123,D
19393,10994,11292,F,107,D
19393,11042,11292,F,139,D
19393,11292,10140,F,128,D
19393,11292,10713,F,121,D
19393,11292,11433,F,140,D
19393,11292,11986,F,128,D
19393,11292,13342,F,136,D
19393,11292,14057,F,133,D
19393,11292,14100,F,138,D
19393,11292,14570,F,139,D
19393,11292,14635,F,163,D
19393,11292,15370,F,141,D
19393,11433,11292,F,123,D
19393,11986,11292,F,84,D
19393,13495,11292,F,175,D
19393,14122,11292,F,143,D
19393,14570,11292,F,140,D
19393,14635,11292,F,171,D
19393,14893,11292,F,140,D
20452,10397,11292,F,61,D
20452,11109,11292,F,73,D
20452,11292,11042,F,70,D
20452,11292,11109,F,65,D
20452,11292,11423,F,60,D
20452,11292,12278,F,33,D
20452,11292,13871,F,65,D
20452,11292,14869,F,69,D
20452,12278,11292,F,52,D
20452,14730,11292,F,67,D
20452,15370,11292,F,52,D
20436,11193,11292,F,134,D
20436,11292,11066,F,143,D
20436,11292,11433,F,64,D
20436,11292,12266,F,178,D
20436,11292,12339,F,113,D
20436,11292,13204,F,180,D
20436,11292,13204,F,126,D
20436,11292,13486,F,136,D
20436,11292,13930,F,180,D
20436,11292,13930,F,110,D
20436,11292,14107,F,145,D
20436,11292,15016,F,151,D
20436,11292,15412,F,136,D
20436,11433,11292,F,142,D
20436,12264,11292,F,132,D
20436,12266,11292,F,171,D
20436,12339,11292,F,150,D
20436,13204,11292,F,169,D
20436,13486,11292,F,102,D
20436,13930,11292,F,180,D
20436,14107,11292,F,142,D
20436,15016,11292,F,152,D
20436,15304,11292,F,4,D
20436,15412,11292,F,140,D
20107,11292,11298,G,0,D
20107,11292,12339,G,0,D
20107,11292,13198,G,0,D
20107,11292,13495,G,0,D
20107,11292,14869,G,0,D
20107,11292,15376,G,0,D
20107,11921,14869,G,0,D
20107,12339,11292,G,0,D
20107,13198,11292,G,0,D
20107,13244,11921,G,0,D
20107,13796,11292,G,0,D
20416,11292,11433,F,144,D
20416,12266,11292,F,127,D
20378,13502,12891,F,66,D
20237,11292,11413,F,45,D
20237,11413,11292,F,47,D
20237,11986,11292,F,43,D
20398,11298,13502,F,44,D
20398,13502,11298,F,48,D
20358,11292,14877,F,88,D
20358,14877,11292,F,94,D
20366,11109,15016,F,47,D
20366,11292,11109,F,47,D
20366,12266,11292,F,47,D
20366,12266,12012,F,49,D
19917,11292,10559,G,0,D
19917,11292,12889,G,0,D
19917,11292,14730,G,0,D
19917,14869,11292,G,0,D
19917,14869,11292,G,0,D
19805,11292,14057,F,267,D
19805,12892,11292,F,322,D
19805,14100,11292,F,267,D
19790,11292,13487,F,251,D
19790,11292,13487,F,356,D
19790,14869,11292,F,287,D
20500,11292,11986,F,133,D
20500,11423,11292,F,122,D
20304,11109,11292,F,125,D
20304,11292,11109,F,124,D
20304,11292,11921,F,87,D
20304,11292,12003,F,91,D
20304,11292,14057,F,146,D
20304,11292,14683,F,138,D
20304,11638,11109,F,0,D
20304,11921,10372,F,73,D
20304,11921,11292,F,64,D
20304,11921,11298,F,0,D
20304,12003,11292,F,65,D
20304,13930,11921,F,96,D
20304,14679,11292,F,145,D
20304,15919,11292,F,108,D
19977,10397,11292,F,223,D
19977,11193,11292,F,112,D
19977,11278,11292,F,314,D
19977,11292,10397,F,275,D
19977,11292,10721,F,244,D
19977,11292,11278,F,322,D
19977,11292,11884,F,269,D
19977,11292,12278,F,180,D
19977,11292,14492,F,318,D
19977,11292,14689,F,205,D
19977,11292,15304,F,243,D
19977,11292,15376,F,250,D
19977,11603,11292,F,273,D
19977,11618,11292,F,211,D
19977,11884,11292,F,255,D
19977,11986,11292,F,220,D
19977,12278,11292,F,149,D
19977,12889,11292,F,166,D
19977,15304,11292,F,243,D
19977,15376,11292,F,228,D
19393,10713,11292,F,217,D
19393,11292,10140,F,49,D
19393,11292,10821,F,165,D
19393,11292,10994,F,274,D
19393,11292,11066,F,254,D
19393,11292,11884,F,265,D
19393,11292,14730,F,253,D
19393,11292,14869,F,204,D
19393,11884,11292,F,281,D
19393,14057,11292,F,274,D
19393,14679,11292,F,275,D
19393,14747,11292,F,256,D
19393,14831,11292,F,236,D
20452,11066,11292,F,104,D
20452,11292,10599,F,112,D
20452,11292,11066,F,137,D
20452,11292,13487,F,132,D
20452,11292,15370,F,127,D
20452,13851,11292,F,137,D
20436,11292,13485,F,274,D
20436,11292,13487,F,295,D
20436,11292,14492,F,290,D
20436,11292,14683,F,299,D
20436,13485,11292,F,242,D
20436,14492,11292,F,289,D
20436,14683,11292,F,299,D
20107,11292,10620,G,0,D
20107,11292,11540,G,0,D
20363,11193,11292,F,143,D
20363,11292,11193,F,139,D
19917,11292,14869,G,0,D
19805,11298,11292,F,396,D
20500,10849,11292,F,177,D
20500,11292,10849,F,199,D
20500,11292,13487,F,199,D
20500,11292,14730,F,191,D
20500,13367,11292,F,166,D
20500,14730,11292,F,199,D
20304,10140,11292,F,166,D
20304,10279,11292,F,143,D
20304,10849,11292,F,136,D
20304,11292,10279,F,119,D
20304,11292,10849,F,193,D
20304,11292,11193,F,211,D
20304,11292,11267,F,192,D
20304,11292,11986,F,203,D
20304,11292,12896,F,115,D
20304,11292,13502,F,135,D
20304,11292,13891,F,141,D
20304,11292,14107,F,192,D
20304,11292,14262,F,131,D
20304,11292,14489,F,131,D
20304,11292,14683,F,201,D
20304,11292,15370,F,206,D
20304,11423,11292,F,147,D
20304,12892,11921,F,89,D
20304,12896,11292,F,90,D
20304,13502,11292,F,140,D
20304,13891,11292,F,147,D
20304,14107,11292,F,204,D
20304,14457,11292,F,107,D
19977,10800,11292,F,333,D
19977,10821,11292,F,368,D
19977,11057,11292,F,446,D
19977,11292,10397,F,358,D
19977,11292,11618,F,346,D
19977,11292,13198,F,462,D
19977,11292,14262,F,331,D
19977,13851,11292,F,471,D
19977,13930,11292,F,346,D
19977,14262,11292,F,379,D
19977,14492,11292,F,482,D
19393,10140,11292,F,336,D
19393,10257,11292,F,465,D
19393,10397,11292,F,412,D
19393,10529,11292,F,394,D
19393,11292,10994,F,513,D
19393,11292,12339,F,388,D
19393,11292,12954,F,383,D
19393,11292,13198,F,400,D
19393,11292,13495,F,347,D
19393,11292,13495,F,424,D
19393,11292,13871,F,391,D
19393,11292,13891,F,385,D
19393,11292,13931,F,417,D
19393,11292,14683,F,481,D
19393,11292,14747,F,417,D
19393,11292,14831,F,330,D
19393,11292,14893,F,350,D
19393,11292,15376,F,374,D
19393,12339,11292,F,395,D
19393,12954,11292,F,380,D
19393,13495,11292,F,427,D
19393,13871,11292,F,311,D
19393,13891,11292,F,400,D
19393,13931,11292,F,508,D
20452,10140,11292,F,203,D
20452,10599,11292,F,144,D
20452,11042,11292,F,200,D
20452,11292,10140,F,193,D
20452,11292,10693,F,190,D
20452,11292,11540,F,169,D
20452,11292,13244,F,197,D
20452,11292,13851,F,213,D
20452,11292,15919,F,122,D
20452,11298,11292,F,198,D
20452,11423,11292,F,196,D
20452,13244,11292,F,200,D
20452,13487,11292,F,198,D
20452,13495,11292,F,197,D
20452,13871,11292,F,206,D
20452,14683,11292,F,192,D
20452,15919,11292,F,130,D
20436,11003,11292,F,425,D
20436,11292,11003,F,424,D
20436,11292,12339,F,445,D
20436,12339,11292,F,517,D
20436,13487,11292,F,381,D
20237,10620,11292,F,126,D
20237,11292,10620,F,100,D
20237,11292,14783,F,123,D
20237,11292,14814,F,132,D
20237,11292,15376,F,141,D
20237,13198,11292,F,143,D
20237,14814,11292,F,92,D
20237,15376,11292,F,139,D
20366,13930,11109,F,142,D
19917,13891,11292,G,0,D
21167,11921,12892,F,126,D
21167,12892,11921,F,169,D
19805,11292,11298,F,483,D
19805,11298,11292,F,541,D
20500,10140,11292,F,210,D
20500,11292,10140,F,265,D
20500,11292,11298,F,255,D
20500,11298,11292,F,274,D
20304,11292,11884,F,188,D
20304,11292,13486,F,260,D
20304,11292,13487,F,277,D
20304,11292,14783,F,236,D
20304,11413,12892,F,164,D
20304,11884,11292,F,187,D
20304,12892,11413,F,160,D
20304,13198,11292,F,191,D
20304,13486,11292,F,168,D
20304,13487,11292,F,293,D
20304,13871,11292,F,144,D
20304,14783,11292,F,253,D
19977,10397,11292,F,462,D
19977,10849,11292,F,509,D
19977,11003,11292,F,395,D
19977,11066,11292,F,577,D
19977,11066,11292,F,540,D
19977,11193,11292,F,438,D
19977,11292,10713,F,555,D
19977,11292,10849,F,623,D
19977,11292,11057,F,571,D
19977,11292,11066,F,588,D
19977,11292,11066,F,503,D
19977,11292,11603,F,479,D
19977,11292,11648,F,545,D
19977,11292,12982,F,638,D
19977,11292,13485,F,754,D
19977,11292,13495,F,456,D
19977,11292,14100,F,615,D
19977,11292,14100,F,397,D
19977,11292,14570,F,497,D
19977,11292,14771,F,668,D
19977,11433,11292,F,684,D
19977,11648,11292,F,397,D
19977,12982,11292,F,642,D
19977,13485,11292,F,617,D
19977,14570,11292,F,650,D
19393,10140,11292,F,660,D
19393,10994,11292,F,624,D
19393,11292,10423,F,506,D
19393,11292,13931,F,651,D
19393,11292,14679,F,549,D
19393,11292,14683,F,553,D
19393,11292,14831,F,677,D
19393,13342,11292,F,561,D
19393,13487,11292,F,543,D
19393,13931,11292,F,542,D
19393,14683,11292,F,649,D
19393,14869,11292,F,516,D
19393,15376,11292,F,551,D
20452,11292,12339,F,276,D
20452,11292,14683,F,256,D
20452,11540,11292,F,242,D
20452,14869,11292,F,208,D
20436,11292,13342,F,693,D
20436,11292,14908,F,561,D
20436,13342,11292,F,577,D
20436,14908,11292,F,567,D
20422,11292,13487,F,505,D
20237,11292,12278,F,185,D
20237,12278,11292,F,158,D
20398,13502,13930,F,146,D
20398,13930,13502,F,211,D
19917,11292,10800,G,0,D
19917,11292,14730,G,0,D
19917,11292,14869,G,0,D
19917,14869,11292,G,0,D
20500,11292,11003,F,281,D
20500,11292,12339,F,308,D
20500,12339,11292,F,328,D
20304,10620,11292,F,163,D
20304,11292,10397,F,359,D
20304,11292,10620,F,180,D
20304,11292,11042,F,365,D
20304,11292,11413,F,280,D
20304,11292,11648,F,314,D
20304,11292,12278,F,364,D
20304,11292,13198,F,228,D
20304,11292,13244,F,299,D
20304,11292,13433,F,192,D
20304,11292,13871,F,142,D
20304,11292,14689,F,197,D
20304,11413,11292,F,230,D
20304,13198,11292,F,335,D
20304,13244,11292,F,357,D
20304,14262,11292,F,124,D
20304,14869,11292,F,201,D
19977,10713,11292,F,738,D
19977,11057,11292,F,852,D
19977,11292,10821,F,581,D
19977,11292,11003,F,461,D
19977,11292,11057,F,813,D
19977,11292,11193,F,500,D
19977,11292,11618,F,1483,D
19977,11292,11884,F,528,D
19977,11292,13264,F,632,D
19977,11292,13891,F,602,D
19977,11292,14831,F,694,D
19977,11292,14893,F,592,D
19977,11292,15376,F,490,D
19977,11697,11292,F,823,D
19977,11884,11292,F,564,D
19977,13198,11292,F,697,D
19977,13851,11292,F,804,D
19977,13891,11292,F,656,D
19977,14057,11292,F,699,D
19977,14747,11292,F,605,D
19977,14831,11292,F,613,D
19977,15376,11292,F,619,D
19393,10693,11292,F,619,D
19393,11292,12954,F,633,D
19393,11292,13487,F,665,D
19393,11292,15016,F,697,D
19393,12191,11292,F,686,D
19393,12954,11292,F,673,D
19393,13851,11292,F,715,D
19393,14122,11292,F,821,D
19393,15016,11292,F,700,D
20452,15016,11292,F,331,D
20436,11292,14107,F,877,D
20436,14107,11292,F,1091,D
20422,13487,11292,F,653,D
20237,11292,11003,F,209,D
20358,11233,11292,F,14,D
20358,11292,11233,F,13,D
20500,11292,13244,F,387,D
20500,13487,11292,F,390,D
20500,13502,13930,F,349,D
20500,13930,13502,F,332,D
20304,10397,11292,F,382,D
20304,11042,11292,F,421,D
20304,11109,12892,F,363,D
20304,11292,11057,F,412,D
20304,11292,13264,F,272,D
20304,11292,13964,F,190,D
20304,11423,11292,F,330,D
20304,11648,11292,F,329,D
20304,12278,11292,F,384,D
20304,13244,11292,F,392,D
20304,13433,11292,F,325,D
20304,13964,11292,F,222,D
20304,14489,11292,F,300,D
20304,14689,11292,F,248,D
20304,15370,11292,F,382,D
20304,15376,11292,F,375,D
19977,10423,11292,F,937,D
19977,11292,11433,F,850,D
19977,11292,11986,F,727,D
19977,11292,12339,F,930,D
19977,11292,13198,F,795,D
19977,11292,13342,F,780,D
19977,11292,13495,F,811,D
19977,11618,11292,F,2053,D
19977,12339,11292,F,954,D
19977,12339,11292,F,755,D
19977,13264,11292,F,755,D
19977,13342,11292,F,817,D
19977,14100,11292,F,761,D
19393,11292,11697,F,801,D
19393,11292,12451,F,1157,D
19393,11292,13198,F,989,D
19393,11292,13796,F,753,D
19393,11292,13851,F,994,D
19393,12451,11292,F,915,D
